sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,delamanid
SRR6824485,gomes2021;huang2019,,SRR6824485,NA,0,0,NA,0,
SRR6824478,gomes2021;huang2019,,SRR6824478,NA,0,0,NA,0,
SRR6824477,gomes2021;huang2019,,SRR6824477,NA,0,0,NA,0,
SRR6824541,gomes2021;huang2019,,SRR6824541,NA,0,0,NA,0,
SRR6824542,gomes2021;huang2019,,SRR6824542,NA,0,0,NA,0,
SRR6824604,gomes2021;huang2019,,SRR6824604,NA,0,0,NA,0,
SRR6824545,gomes2021;huang2019,,SRR6824545,NA,0,0,NA,0,
SRR6824546,gomes2021;huang2019,,SRR6824546,NA,0,0,NA,0,
SRR6824547,gomes2021;huang2019,,SRR6824547,NA,0,0,NA,0,
SRR6824548,gomes2021;huang2019,,SRR6824548,NA,0,0,NA,0,
SRR6824615,gomes2021;huang2019,,SRR6824615,NA,0,0,NA,0,
SRR6824667,gomes2021;huang2019,,SRR6824667,NA,0,0,NA,0,
SRR6824664,gomes2021;huang2019,,SRR6824664,NA,0,0,NA,0,
SRR6824663,gomes2021;huang2019,,SRR6824663,NA,0,0,NA,0,
SRR6824662,gomes2021;huang2019,,SRR6824662,NA,0,0,NA,0,
SRR6824659,gomes2021;huang2019,,SRR6824659,NA,0,0,NA,0,
SRR6824658,gomes2021;huang2019,,SRR6824658,NA,0,0,NA,0,
SRR6824309,gomes2021;huang2019,,SRR6824309,NA,0,0,NA,0,
SRR6824307,gomes2021;huang2019,,SRR6824307,NA,1,1,NA,0,
SRR6824308,gomes2021;huang2019,,SRR6824308,NA,0,0,NA,0,
SRR6824305,gomes2021;huang2019,,SRR6824305,NA,0,0,NA,0,
SRR6824313,gomes2021;huang2019,,SRR6824313,NA,0,0,NA,0,
SRR6824314,gomes2021;huang2019,,SRR6824314,NA,0,0,NA,0,
SRR6824316,gomes2021;huang2019,,SRR6824316,NA,0,0,NA,0,
